"Feature","Comparison","Z_Value","P_Value","Adjusted_P_Value","Significance"
"Greenspaces","Belval - Kirchberg",-4.38412278211339,1.16454081543097e-05,3.49362244629292e-05,"Significant"
"Greenspaces","Belval - Limpertsberg",-8.20161113109199,2.37186480695027e-16,7.11559442085081e-16,"Significant"
"Greenspaces","Kirchberg - Limpertsberg",-3.8174883489786,0.000134817151684324,0.000404451455052971,"Significant"
"Buildings","Belval - Kirchberg",5.13330012125241,2.84705364601958e-07,8.54116093805874e-07,"Significant"
"Buildings","Belval - Limpertsberg",0.261510644474951,0.79369874194643,1,"Not Significant"
"Buildings","Kirchberg - Limpertsberg",-4.87178947677746,1.10591976411073e-06,3.3177592923322e-06,"Significant"
"Sounds","Belval - Kirchberg",-3.87945377597049,0.000104691292711855,0.000314073878135564,"Significant"
"Sounds","Belval - Limpertsberg",-7.28764401266072,3.1542207146242e-13,9.46266214387261e-13,"Significant"
"Sounds","Kirchberg - Limpertsberg",-3.40819023669023,0.000653952863078794,0.00196185858923638,"Significant"
