"Feature","W_Statistic","P_Value","Normality"
"nvalue_GreenSpacesBelvalCampus",0.851092668673614,6.65336249799486e-05,"No"
"nvalue_GreenSpacesKirchbergCampus",0.842805785660143,4.15951641940041e-05,"No"
"nvalue_GreenSpacesLimpertsbergCampus",0.688121667449554,3.70218314619921e-08,"No"
"nvalue_BuildingBelvalCampus",0.858670855196408,0.000103438200635326,"No"
"nvalue_BuildingKirchbergCampus",0.880244053335203,0.000388481759499292,"No"
"nvalue_BuildingLimpertsbergCampus",0.873375732924845,0.000252039455158482,"No"
"nvalue_SoundsBelvalCampus",0.900061450607505,0.00144566544373613,"No"
"nvalue_SoundsKirchbergCampus",0.848403157303797,5.70442556800045e-05,"No"
"nvalue_SoundsLimpertsbergCampus",0.752811631859174,5.03076818586921e-07,"No"
